crop protection,Сomments,Keywords,Abstracts
insecticide,,,"WO 2022177892 A1
   NOVELTY - A substituted haloalkyl sulfonanilide compound (I), is new. 
   DETAILED DESCRIPTION - A substituted haloalkyl sulfonanilide compound of formula (I) or its stereoisomer, N-oxide and salt, is new. 
       R1   = H, 1-7C alkyl, halo, CN, 2-6C alkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 2-4C cyanoalkyl, 1-7C haloalkyl, 2-7C haloalkenyl, 3-7C haloalkynyl, 2-7C alkoxyalkyl, 1-7C alkoxy, 1-5C alkylthio, 2-3C alkoxycarbonyl or 2-7C haloalkoxyalkyl;
       R1   = H, 1-7C alkyl, halo, CN, 1-7C haloalkyl, 1-7C alkoxy or 1-5C alkylthio;
       R3   = H, 1-7C alkyl, halo, CN, 2-6C alkenyl, 2-7C alkynyl, 3-7C cycloalkyl, 2-4C cyanoalkyl, 1-7C haloalkyl, 2-7C haloalkenyl, 3-7C haloalkynyl, 2-7C alkoxyalkyl, 1-7C alkoxy, 1-5C alkylthio, 2-3C alkoxycarbonyl or 2-7C haloalkoxyalkyl;
       R4   = H, C(=O)R1 4 , -C(=S)R1 4 , -CO2 R1 4 , -C(=O)SR1 4 , -S(O)2 R1 4 , C(=O)NR1 3 R1 4 , -S(O)2 NR1 3 R1 4 , CH2 OC(=O)OR1 4 , CH2 OC(=O)NR1 3 R1 4 or CH2 OC(=O)R1 4 or propargyl, allyl or benzyl; 
       R5   = H, 2-6C alkenyl, 2-7C haloalkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 4-7C cycloalkylalkyl, 2-4C cyanoalkyl, 1-7C haloalkyl, 3-7C alkylthioalkyl, 1-7C haloalkoxy, 2-7C alkoxyalkyl or 4-7C alkylcycloalkyl; 
       R6   = H, 1-7C alkyl, halo, CN, 1-5C alkylthio, 2-3C alkoxycarbonyl, 2-6C alkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 4-7C cycloalkylalkyl, 2-4C cyanoalkyl, 1-7C haloalkyl, 2-7C haloalkenyl, 2-7C alkoxyalkyl, 3-7C alkylthioalkyl, 1-7C alkoxy, 1-7C haloalkoxy, 2-7C haloalkoxyalkyl or 4-7C alkylcycloalkyl;
       R7   = H, 1-7C alkyl, halo, CN, 1-5C alkylthio, 2-3C alkoxycarbonyl, 2-6C alkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 4-7C cycloalkylalkyl, 2-4C cyanoalkyl, 1-7C haloalkyl, 2-7C haloalkenyl, 2-7C alkoxyalkyl, 3-7C alkylthioalkyl, 1-7C alkoxy, 1-7C haloalkoxy, 2-7C haloalkoxyalkyl or 4-7C alkylcycloalkyl;
       R8   = H, 1-7C alkyl, 2-6C alkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 4-7C cycloalkylalkyl, 2-4C cyanoalkyl, 1-7C haloalkyl, 2-7C haloalkenyl, 2- 7C alkoxyalkyl, 3-7C alkylthioalkyl, 1-7C alkoxy, 1-7C haloalkoxy, 2-7C alkoxyalkyl or 4-7C alkylcycloalkyl;
       Q  = CHR9 , O or direct bond;
       R9   = H, 1-7C alkyl, halo, CN, 1-5C alkylthio, 2-3C alkoxycarbonyl, 2-6C alkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 4-7C cycloalkylalkyl, 2-4C cyanoalkyl, 1-7C haloalkyl, 2-7C haloalkenyl, 2-7C alkoxyalkyl, 3-7C alkylthioalkyl, 1-7C alkoxy, 1-7C haloalkoxy, 2-7C alkoxyalkyl, 2-7C haloalkoxyalkyl or 4-7C alkylcycloalkyl;
       G  = OR1 0 , SR1 0 , SOR1 0 or SO2 R1 0 ; 
       or G+R5   = N-OR1 5 ;
       R1 0   = H, 2-6C alkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 3-7C halocycloalkyl, 4-7C alkylcycloalkyl, 4-7C cycloalkylalkyl, 4-7C halocycloalkylalkyl, 5-7C alkylcycloalkylalkyl, 1-7C haloalkoxy, 2-7C alkoxyalkyl, 2-4C cyanoalkyl, 1-7C haloalkyl, 2-7C haloalkenyl, 3-7C alkylthioalkyl, 2-4C cyanoalkyl, 4-7C alkylcycloalkyl, 1-6C nitroalkyl, 3- 6C alkylcarboalkyl, 3-6C alkoxycarboalkyl, 2-7C haloalkoxyalkyl, benzyl or 3-6C alkylcarboalkoxy;
       R1 0   = group chosen from 16 groups, e.g. groups of formulae (1)- (16);
       R1 1   = H, 1-7C alkyl, 2-6C alkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 4-7C cycloalkylalkyl, 7C haloalkyl, 2-7C haloalkenyl, 2-7C alkoxyalkyl, 3- 7C alkylthioalkyl, 1-7C alkoxy, 1-7C haloalkoxy, 2-7C alkoxyalkyl or 4-7C alkylcycloalkyl;
       R1 2   = H, 1-7C alkyl, 2-6C alkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 4-7C cycloalkylalkyl or 7C haloalkyl;
       R1 3 ,R1 4   = H, 1-7C alkyl, 2-6C alkenyl, 2-6C alkynyl, 3-7C cycloalkyl, 4-7C cycloalkylalkyl, 2-3C cyanoalkyl, 1-7C haloalkyl, 2-7C haloalkenyl, 2-7C alkylalkoxyalkyl, 3-7C alkylthioalkyl, 1-7C alkoxy, 2-7C alkoxyalkyl, 4-7C alkylcycloalkyl, phenyl or benzyl; 
       R'  = 1-7C haloalkyl;
       or G+R8 +C  = cyclic amido;
       R1 1 or R1 2 +C  = ring;and
       R1 5   = H, 1-6C alkyl, 1-6C haloalkyl, 2-6C alkenyl, 2-6C alkynyl or 4-7C cycloalkylalkyl.
    INDEPENDENT CLAIMS are included for the following: 
      herbicidal composition, which comprises the compound (I) and at least one component chosen from surfactants, solid diluents and liquid diluents; 
      herbicidal mixture, which comprises (a) the compound (I) and (b) at least one additional active ingredient chosen from (b1) photosystem II inhibitors, (b2) acetohydroxy acid synthase (AHAS) inhibitors, (b3) acetyl- CoA carboxylase (ACCase) inhibitors, (b4) auxin mimics, (b5) 5-enol- pyruvylshikimate-3-phosphate (EPSP) synthase inhibitors, (b6) photosystem I electron diverters, (b7) protoporphyrinogen oxidase (PPO) inhibitors, (b8) glutamine synthetase (GS) inhibitors, (b9) very long chain fatty acid (VLCFA) elongase inhibitors, (b10) auxin transport inhibitors, (b11) phytoene desaturase (PDS) inhibitors, (b12) 4-hydroxyphenyl-pyruvate dioxygenase (HPPD) inhibitors, (b13) homogentisate solanesyltransferase (HST) inhibitors, (b14) cellulose biosynthesis inhibitors, (b15) other herbicides including mitotic disruptors organic arsenicals, asulam, bromobutide, cinmethylin, cumyluron, dazomet, difenzoquat, dymron, etobenzanid, flurenol, fosamine, fosamine-ammonium, hydantocidin, metam, methyldymron, oleic acid, oxaziclomefone, pelargonic acid and pyributicarb, (b16) herbicide safeners, and salts of compounds of (b1) through (b16); and 
      method for controlling the growth of undesired vegetation, which involves contacting the vegetation or its environment with the compound (I).
   ACTIVITY - Herbicide; Fungicide; Insecticide; Nematocide; Antibacterial; Acaricide. Test details are described but no results given. 
   MECHANISM OF ACTION - None given.
   USE - New substituted haloalkyl sulfonanilide compound used in herbicidal composition and herbicidal mixture for controlling growth of undesired vegetation (all claimed) e.g. rice, soybean, sugar beet, maize, potato, wheat, barley, tomato and plantation crops. 
   ADVANTAGE - None given."
fungicide,,,"KR 2022117608 A
   NOVELTY - Antibacterial composition comprises: 95-99 wt.% two-component binder, prepared by mixing a main agent and a curing agent, and when the matrix coated with the antibacterial composition comes into contact with moisture in the air, the zinc metal component of 1-5% zinc oxide present on the surface of the matrix is ionized and eluted which has an average particle diameter of 100-150 nm; 10-900 pts. wt. dispersant to which methyl ethyl ketone is added; and 2-3 pts. wt. defoamer based on 100 pts. wt. binder and zinc oxide powder.
   USE - The composition is useful for buildings, closets, shoe and cabinets.
   ADVANTAGE - The composition: replaces antibacterial products based on synthetic chemicals and is harmless to the human body; has an excellent antibacterial effect, sterilizing, antifungal, deodorizing, and hydrophilic properties with improved safety; can be conveniently applied to products having a curved surface or in a corner where it is difficult to use antibacterial sheet paper or film; prevents the propagation of bacteria through contact with hands or feet by imparting antibacterial and sterilizing power to the object or building and can be used in the form of a spray."
herbicide,,,"KR 2022117602 A
   NOVELTY - Herbicide composition comprises trifluralin and rimsulfuron in a weight ratio of 8:1-1:1.
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is also included for herbicide comprising 2-96 wt.% herbicidal composition, and remaining amount of carriers and adjuvants.
   ACTIVITY - Herbicide. Test details are described but no results given. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful for controlling crop weeds in cornfield. 
   ADVANTAGE - The herbicide composition has excellent synergistic effect compared to single dose, has greater co-toxicity coefficient of 120, improves stability of aqueous suspension concentrate, has excellent broad weeding spectrum and high efficiency, and is economical."
insecticide,,,"KR 2022117612 A
   NOVELTY - Composition comprises herbal extract or it's fraction. 
   ACTIVITY - Acaricide. Test details are described but no results given. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful for attracting bee mites and controlling bee mites (all claimed).
   ADVANTAGE - The composition can be used as more efficient bee mite control material, and is economical."
insecticide,,,"KR 2022117762 A
   NOVELTY - Composition comprises Chelidonium majus var. asiaticum extract.
   ACTIVITY - Insecticide. Test details are described but no results given. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful as suspension, emulsion, solution, aqueous powder, granular wettable powder, granule, powder, tablet and pack for controlling pine wood nematodes by treating plants and soil with composition (all claimed).
   ADVANTAGE - The composition is concentration-dependent in killing pine wood nematodes, and can be mixed with spreading agent, penetrant and surfactant."
insecticide,,,"KR 2022117740 A
   NOVELTY - A Beauveria bassiana strain BG2002, is new. 
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for an agent, which comprises B.bassiana (strain BG2002) or its spores. 
   USE - The B.bassiana strain is useful in agent for controlling Alphitobius diaperinus (all claimed).
   ADVANTAGE - The strain has pathogenicity against both adult and larvae of A.diaperinus ."
fungicide,,,"CN 114931089 A
   NOVELTY - Performing hydroponics planting method of Cycas debaoensis seedlings involves performing root processing treatment, plant fixation, hydroponics domestication and maintenance management, where pebbles are fixed in planting basket and placed in a container after the Cycas debaoensis seedlings are trimmed and the root system of bactericides are soaked, clear water or culture solution is added, the growth condition of the plants is observed in time, and the liquid in the container is replaced every week. The root processing treatment involves lifting the Cycas debaoensis seedlings from culture medium, cleaning residual matrix or soil at the roots with flowing clear water, cutting out rotten roots, diseased and weak roots and broken roots, flattening the cut openings, and soaking the roots with a bactericide to obtain sterilized plants for later use. 
   DETAILED DESCRIPTION - Performing hydroponics planting method of Cycas debaoensis seedlings involves performing root processing treatment, plant fixation, hydroponics domestication and maintenance management, where pebbles are fixed in planting basket and placed in a container after the Cycas debaoensis seedlings are trimmed and the root system of bactericides are soaked, clear water or culture solution is added, the growth condition of the plants is observed in time, and the liquid in the container is replaced every week. The root processing treatment involves lifting the Cycas debaoensis seedlings from culture medium, cleaning residual matrix or soil at the roots with flowing clear water, cutting out rotten roots, diseased and weak roots and broken roots, flattening the cut openings, and soaking the roots with a bactericide to obtain sterilized plants for later use. The step of plant fixation involves fixing plants by pebbles, filling a layer with pebbles at the bottom of the planting basket before fixing to prevent original roots from directly penetrating out of bottom of planting basket, placing plants which are trimmed and sterilized into planting basket, and adding the pebbles continuously to fix the plants in the planting basket. The hydroponics domestication involves fixing the planting basket fixedly provided with the plants into container, adding clear water or culture solution into planting basket, dripping the liquid into container after the liquid flows through pebbles, and stopping adding the liquid until the liquid in container is level to bottom of planting basket. The maintenance management involves observing growth of the plants at the right time and changing liquid in the container every week. 
   USE - Method for performing hydroponics planting method of Cycas debaoensis seedlings is used for plant cultivation, ornamental, teaching and scientific research.
   ADVANTAGE - The method enables to break through the traditional concepts that Cycas plants are drought-resistant, water logging-resistant and the root systems are not water-resistant to soaking, successfully applies the water culture technology to the cultivation of Cycas debaoensis seedlings and ensures the survival rate of the Cycas debaoensis seedlings. The root system of the hydroponic Cycas debaoensis seedling is extended into water, the growth and form of the root system is clearly and visually observed, hydroponic Cycas debaoensis seedling is a good science popularization teaching material, and complete root system is easy to obtain, is used for scientific research, lays a foundation for protecting biological diversity, and has good ecological benefit and social benefit."
herbicide,,,"CN 217251008 U
   NOVELTY - The utility model claims an automatic spraying dual-purpose vehicle for water washing and herbicide of railway contact comprising a vehicle body and a nozzle set on the vehicle body and connected with the vehicle body; the vehicle body is set on the railway surface and moves along the axial direction of the rail surface, the height distance of the lowest end of the nozzle to the rail surface is not less than 350mm, the distance between the nozzle and the central axis of the railway is not more 1675mm; the nozzle of the nozzle railway track surface two sides of the direction, the nozzle and the ground form an included angle of 45 degrees, the plane formed by the spray sprayed by the nozzle forms an included angle of 90 degrees with the ground. The utility model has two functions of contact washing and herbicide automatic spraying, capable of independently working, improving the utilization rate of the water washing vehicle; simple operation, high weeding efficiency, short time, low cost and small labour intensity.
   DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for the automatic spraying dual-purpose vehicle for water washing and herbicide of railway network insulator contact to claim."
insecticide,,,"CN 114931070 A
   NOVELTY - Cultivating Achyranthes sichuanensis at high altitude, comprises e.g. (1) preparing site and picking seedlings after the Achyranthes sichuanensis seeds are mature, drying, rubbing out the seeds for screening and storage, choosing a place with fertile, loosening soil, plenty of sunshine, and performing nursery seedlings for Achyranthes sichuanensis , mixing, evenly spreading into the nursery bed for sowing, (2) selecting high mountains and sunny slopes with an altitude of 1800-2500 m, (3) soaking the Achyranthes sichuanensis seedlings in 900-1100 times lime sulfur mixture solution for 8-12 minutes, (4) replenishing the seedlings and removing the seedlings until the Achyranthe sichuanensis seedlings, fertilizing and cultivating soil Achyranthes sichuanensis seedlings to continue to grow, and (5) excavating after Achyranthes sichuanensis continues to grow until the end of October of the third year. 
   DETAILED DESCRIPTION - Cultivating Achyranthes sichuanensis at high altitude, comprises (1) preparing site and picking seedlings after the Achyranthes sichuanensis seeds are mature, drying, rubbing out the seeds for screening and storage, choosing a place with fertile, loosening soil, plenty of sunshine, and performing nursery seedlings for Achyranthes sichuanensis , mixing, evenly spreading into the nursery bed for sowing and raising of Achyranthes sichuanensis , and the amount of Achyranthes sichuanensis seeds per acre is 3-5 kg, sowing the seeds, covering the floating soil, and waiting for the Achyranthes sichuanensis seedlings to continue to grow, laying a layer of film for heat preservation and moisturizing on the surface of the nursery, (2) selecting high mountains and sunny slopes with an altitude of 1800-2500 m, and the soil is deep, loose, fertile, rich in humus, and well-drained yellow soil or brown loam soil as the transplanting seedlings, in July of the year before the seedlings of Achyranthes officinalis are planted, according to the proportion of 180-220 kg/mu, sprinkling slaked lime, and deep plowing and drying in August, transplanting Achyranthes sichuanensis seedlings in February of that year, applying enough oil and dry base fertilizer at 90- 110 kg/mu, and leaving them vacant, transplanting Achyranthes sichuan seedlings, (3) fixed nest transplanting is in the middle and late March of the second year of Achyranthes sichuanensis sowing, taking out the Achyranthes sichuanensis seedlings in the nursery ground, and the Achyranthes sichuanensis seedlings of rhizome diameter ≥ 0.4 cm, selecting length of 30-40 cm transplant before transplanting, soaking the Achyranthes sichuanensis seedlings in 900-1100 times lime sulfur mixture solution for 8-12 minutes, taking out and air-drying, on the transplanting seedling ground, excavating the nests for transplanting Achyranthes sichuanensis , and transplanting the Achyranthes sichuanensis seedlings in each nest, (4) replenishing the seedlings and removing the seedlings until the Achyranthe sichuanensis seedlings, observing the emergence state of Achyranthe sichuanensis during the period, replenishing the seedlings in time at the missing seedlings, and removing the seedlings at the redundant seedlings to ensure the neatness of the Achyranthe sichuanensis seedlings in the nests consistent, (5) fertilizing and cultivating soil Achyranthes sichuanensis seedlings to continue to grow, in the year of Achyranthes sichuanensis transplanting and in June and August of the second year after the transplanting of Achyranthes sichuanensis , performing the intertillage and weeding and topdressing of Achyranthes sichuanensis, when topdressing, fertilizing along the nest, in June of the current year and June of the second year after transplanting Achyranthes sichuanensis , adding 48-52 kg/mu fertilizer composition, transplanting at the end of August of the year after Achyranthes sichuanensis , adding phosphate fertilizer and potash fertilizer at 48-52 kg/mu, respectively, and at the end of August of the second year after Achyranthes sichuanensis is transplanted, adding phosphate fertilizer and potassium fertilizer at 48-52 kg/mu, transplanting in October of the year when Achyranthes sichuanensis , covering the roots of Achyranthes sichuanensis with soil, and cultivating the soil to prevent freezing to prevent Achyranthes sichuanensis from freezing in winter, and ensuring the normal wintering of Achyranthes sichuanensis , ensuring the normal growth of underground rhizomes, (6) the topping of flower buds is in the year of Achyranthes sichuanensis transplanting and from June to July of the second year, immediately removing the plant when flower buds are observed, and (7) excavating after Achyranthes sichuanensis continues to grow until the end of October of the third year after transplanting, and digging of Achyranthes sichuanensis .
   ACTIVITY - Fertilizer.
   USE - The method for cultivating Achyranthes sichuanensis with high altitude for expelling blood stasis and dredging menstrual flow, dredging joint, promoting urination and treating strangussis. 
   ADVANTAGE - The method for cultivating Achyranthes sichuanensis at high altitude provided by the invention can fully guarantee the nutrition supply of Achyranthes sichuanensis by planting in fixed nests, and the excavation period can be clearly shortened to 3 years."
insecticide,,,"CN 217242306 U
   NOVELTY - The utility model claims a device for preventing and treating plant diseases and insect pests of yellow tea, comprising a driving carriage, a moving wheel, a pushing handle, a mixing box, a stirring and mixing assembly, a vibration mixing component, a spraying pump, a sprayer and a sprayer supporting hanging mechanism, the moving wheel is set on the bottom wall of the driving carriage, the pushing handle is set at the rear side of the driving carriage, the vibration mixing component is set in the driving carriage, the mixing box is set on the vibration mixing component, the stirring and mixing component is set in the mixing box, the mixing box is provided with a feeding port, the spraying pump is set on the vibration mixing component, the spraying pump is provided with a liquid inlet pipe and a liquid outlet pipe, the liquid inlet pipe is set in the mixing box, the sprayer is connected with the liquid outlet pipe, the sprayer supporting hanging mechanism is set on the front side wall of the mixing box, the sprayer is clamped in the spraying device supporting hanging mechanism. The utility model relates to the technical field of yellow tea planting, specifically claims a yellow tea plant diseases and insect pests preventing device capable of improving fertilizer or pesticide and water by circumferential stirring and improving the mixing degree of the pesticide and water uniformly."
insecticide,,,"CN 217242383 U
   NOVELTY - The utility model claims a disc-type mosquito-repellent incense sheet capable of being combined randomly, comprising a first vortex-shaped mosquito-repellent incense sheet and a second vortex-shaped mosquito-repellent incense sheet, wherein the first vortex-shaped mosquito- repellent incense sheet and the second vortex-shaped mosquito-repellent incense sheet are mutually attached, the starting end of the first vortex- shaped mosquito-repellent incense sheet and the second vortex-shaped mosquito-repellent incense sheet is respectively with a first splicing piece and a second splicing piece, the first splicing piece is matched with the second splicing piece. The utility model claims a disc-type mosquito incense sheet capable of being combined randomly, according to the requirement of the scene, the first splicing piece and the second splicing piece are spliced to connect the first vortex mosquito incense sheet and the second vortex mosquito incense sheet together, so as to increase the continuous combustion time of the mosquito incense, and the supporting bump at the bottom supports the first volute-shaped mosquito-repellent incense sheet and the second vortex-shaped mosquito-repellent incense sheet, the bottom of the first vortex-shaped mosquito-repellent incense sheet and the second vortex-shaped mosquito-repellent incense sheet forms a gap with the ground to circulate air, it is convenient for the first vortex-shaped mosquito-repellent incense sheet and the second vortex-shaped mosquito- repellent incense sheet to burn without the other set up"
insecticide,,,"CN 217242311 U
   NOVELTY - The utility model relates to agricultural planting spraying technology field, especially claims an agricultural planting spraying device with adjustable height, comprising a device main body, the left side of the bottom end of the device main body is provided with a universal wheel, the right side of the front surface and the back surface of the device main body is equipped with a moving wheel, the right side of the device main body is provided with a charging interface, the inner part of the device main body is provided with a storage battery group, the right side of the top part of the device main body is provided with a medicine storage box, the inner part of the device main body through the medicine storage box is provided with a driving motor, the upper side of the inner part of the medicine storage box is provided with a bearing bracket, the whole device is simple in structure, convenient to flexibly move to the needed agricultural planting spraying position, at the same time, it is convenient for the agricultural planting medicine liquid with different spraying ratio concentration for diluting and stirring and mixing, and convenient for lifting/reducing according to the needed spraying height, The double-head high-efficiency spraying medicine liquid has high stability and practicability, and has a certain popularization value."
insecticide,,,"CN 217248665 U
   NOVELTY - The utility model belongs to the technical field of automatic feeding device, especially a powder pesticide automatic feeding device, aiming at the existing powder pesticide generally has no automatic feeding device, it needs to working staff the bag or bottled powder mixed in water stirring, and the stirring effect is bad, multiple needs manual stirring, increasing the working difficulty, it claims the following solution, comprising a mixing box, the left side of the mixing box is provided with a discharge pipe, the bottom inner wall of the mixing box is obliquely arranged, the top part of the mixing box is provided with a feeding port, the outer side of the mixing box is provided with a controller, the top part box is provided with a storage box, the top part of the storage box is provided with a feeding pipe, the top part box is provided with a fixing shell, the fixing shell is provided with a servo motor The utility model has simple structure, convenient use, it can realize automatic feeding, improves the mixing effect of the powder and water, can avoid manual mixing, reduces the working difficulty."
insecticide,,,"US 11420218 B1
   NOVELTY - The nozzle has a channel (132) formed in a head planar contact surface (21) starting from a first point on a peripheral edge and extending to an end point on the peripheral edge for dividing the head planar contact surface with the channel such that the channel divides the peripheral edge in two places. An elastomer (134) is sized to be received within the channel such that the channel extends from the first point to the end point on the peripheral edge when emplaced within the channel for creating an elastomeric seal between a nozzle body and a nozzle head along the channel. 
   USE - Spray nozzle for dispersing fluids for agricultural applications. Uses include but are not limited to fertilizer, insecticide and water. 
   ADVANTAGE - The nozzle has superior dispersion characteristics, and can evenly and accurately distribute the fluid over a nozzle's spray area. 
   DESCRIPTION OF DRAWINGS - The drawing shows a top view of a spray head with a sealant recess and an O-ring.
     21- Head planar contact surface
     132- Channel
     134- Elastomer"
fungicide,,,"IN 202211044990 A
   NOVELTY - Composition comprises fluconazole (I). 
   DETAILED DESCRIPTION - Composition comprises fluconazole of formula (I). 
   ACTIVITY - Antidiabetic; Fungicide; Antilipemic; Antiulcer; Anti-HIV. 
   MECHANISM OF ACTION - None given.
   USE - The composition is useful: as antidiabetic, antifungal, antihyperlipidemic (all claimed) and antiulcer agents; and for fighting opportunistic infections in people with HIV and severe fungal infection. No biological data given.
   ADVANTAGE - The composition: contains compounds that have different physicochemical properties, which can be ash values, moisture content and extractive values; overcomes all the side effects of the other fungal drugs like ketoconazole, clotrimazole, and miconazole; and provides excellent bioavailability, tolerability, and side-effect profile."
